Location	Lat	Long	Address
Webster Farm Main	42.73459328	-77.62621363	"5935 Powell Rd, Conesus, NY 14435"
Aunt Zerviah's House	42.79163317	-77.62484193	"Blank Rd & Cleary Rd, Hemlock, NY 14466"
